account_id,industry,plan_tier,mrr_amount,churn_date,is_churned
A-00bed1,Cybersecurity,Basic,5572,2024-01-03,1
A-00bed1,Cybersecurity,Basic,0,2024-01-03,1
A-00bed1,Cybersecurity,Basic,1764,2024-01-03,1
A-00bed1,Cybersecurity,Basic,1159,2024-01-03,1
A-00bed1,Cybersecurity,Basic,9751,2024-01-03,1
A-00bed1,Cybersecurity,Basic,5572,2024-01-03,1
A-00bed1,Cybersecurity,Basic,1372,2024-01-03,1
A-00bed1,Cybersecurity,Basic,5572,2024-01-03,1
A-00bed1,Cybersecurity,Basic,1372,2024-01-03,1
A-00bed1,Cybersecurity,Basic,1372,2024-01-03,1
A-00cac8,HealthTech,Enterprise,0,,0
A-00cac8,HealthTech,Enterprise,152,,0
A-00cac8,HealthTech,Enterprise,152,,0
A-00cac8,HealthTech,Enterprise,361,,0
A-00cac8,HealthTech,Enterprise,931,,0
A-00cac8,HealthTech,Enterprise,7761,,0
A-00cac8,HealthTech,Enterprise,3980,,0
A-00cac8,HealthTech,Enterprise,392,,0
A-00cac8,HealthTech,Enterprise,392,,0
A-0158bb,FinTech,Basic,0,,0
A-0158bb,FinTech,Basic,2205,,0
A-0158bb,FinTech,Basic,0,,0
A-0158bb,FinTech,Basic,1029,,0
A-0158bb,FinTech,Basic,171,,0
A-0158bb,FinTech,Basic,665,,0
A-016043,EdTech,Basic,2587,2024-08-11,1
A-016043,EdTech,Basic,0,2024-08-11,1
A-016043,EdTech,Basic,209,2024-08-11,1
A-016043,EdTech,Basic,1323,2024-08-11,1
A-016043,EdTech,Basic,114,2024-08-11,1
A-016043,EdTech,Basic,494,2024-08-11,1
A-016043,EdTech,Basic,247,2024-08-11,1
A-016043,EdTech,Basic,2786,2024-08-11,1
A-016043,EdTech,Basic,0,2024-08-11,1
A-016043,EdTech,Basic,4776,2024-08-11,1
A-016043,EdTech,Basic,3980,2024-08-11,1
A-019782,DevTools,Enterprise,0,,0
A-019782,DevTools,Enterprise,2587,,0
A-019782,DevTools,Enterprise,266,,0
A-019782,DevTools,Enterprise,539,,0
A-019782,DevTools,Enterprise,735,,0
A-019782,DevTools,Enterprise,3184,,0
A-019782,DevTools,Enterprise,833,,0
A-019782,DevTools,Enterprise,209,,0
A-019782,DevTools,Enterprise,0,,0
A-029f69,Cybersecurity,Basic,4776,2024-12-14,1
A-029f69,Cybersecurity,Basic,4776,2024-06-17,1
A-029f69,Cybersecurity,Basic,4776,2024-10-31,1
A-029f69,Cybersecurity,Basic,597,2024-12-14,1
A-029f69,Cybersecurity,Basic,597,2024-06-17,1
A-029f69,Cybersecurity,Basic,597,2024-10-31,1
A-029f69,Cybersecurity,Basic,0,2024-12-14,1
A-029f69,Cybersecurity,Basic,0,2024-06-17,1
A-029f69,Cybersecurity,Basic,0,2024-10-31,1
A-029f69,Cybersecurity,Basic,597,2024-12-14,1
A-029f69,Cybersecurity,Basic,597,2024-06-17,1
A-029f69,Cybersecurity,Basic,597,2024-10-31,1
A-029f69,Cybersecurity,Basic,1029,2024-12-14,1
A-029f69,Cybersecurity,Basic,1029,2024-06-17,1
A-029f69,Cybersecurity,Basic,1029,2024-10-31,1
A-029f69,Cybersecurity,Basic,490,2024-12-14,1
A-029f69,Cybersecurity,Basic,490,2024-06-17,1
A-029f69,Cybersecurity,Basic,490,2024-10-31,1
A-029f69,Cybersecurity,Basic,147,2024-12-14,1
A-029f69,Cybersecurity,Basic,147,2024-06-17,1
A-029f69,Cybersecurity,Basic,147,2024-10-31,1
A-029f69,Cybersecurity,Basic,1323,2024-12-14,1
A-029f69,Cybersecurity,Basic,1323,2024-06-17,1
A-029f69,Cybersecurity,Basic,1323,2024-10-31,1
A-029f69,Cybersecurity,Basic,2985,2024-12-14,1
A-029f69,Cybersecurity,Basic,2985,2024-06-17,1
A-029f69,Cybersecurity,Basic,2985,2024-10-31,1
A-029f69,Cybersecurity,Basic,0,2024-12-14,1
A-029f69,Cybersecurity,Basic,0,2024-06-17,1
A-029f69,Cybersecurity,Basic,0,2024-10-31,1
A-029f69,Cybersecurity,Basic,133,2024-12-14,1
A-029f69,Cybersecurity,Basic,133,2024-06-17,1
A-029f69,Cybersecurity,Basic,133,2024-10-31,1
A-029f69,Cybersecurity,Basic,646,2024-12-14,1
A-029f69,Cybersecurity,Basic,646,2024-06-17,1
A-029f69,Cybersecurity,Basic,646,2024-10-31,1
A-029f69,Cybersecurity,Basic,1274,2024-12-14,1
A-029f69,Cybersecurity,Basic,1274,2024-06-17,1
A-029f69,Cybersecurity,Basic,1274,2024-10-31,1
A-029f69,Cybersecurity,Basic,147,2024-12-14,1
A-029f69,Cybersecurity,Basic,147,2024-06-17,1
A-029f69,Cybersecurity,Basic,147,2024-10-31,1
A-029f69,Cybersecurity,Basic,209,2024-12-14,1
A-029f69,Cybersecurity,Basic,209,2024-06-17,1
A-029f69,Cybersecurity,Basic,209,2024-10-31,1
A-029f69,Cybersecurity,Basic,285,2024-12-14,1
A-029f69,Cybersecurity,Basic,285,2024-06-17,1
A-029f69,Cybersecurity,Basic,285,2024-10-31,1
A-02cd81,HealthTech,Basic,8756,2024-04-30,1
A-02cd81,HealthTech,Basic,0,2024-04-30,1
A-02cd81,HealthTech,Basic,836,2024-04-30,1
A-02cd81,HealthTech,Basic,2156,2024-04-30,1
A-02cd81,HealthTech,Basic,8756,2024-04-30,1
A-02cd81,HealthTech,Basic,0,2024-04-30,1
A-02cd81,HealthTech,Basic,2156,2024-04-30,1
A-02cd81,HealthTech,Basic,2156,2024-04-30,1
A-02cd81,HealthTech,Basic,836,2024-04-30,1
A-02cd81,HealthTech,Basic,2156,2024-04-30,1
A-02cd81,HealthTech,Basic,2156,2024-04-30,1
A-02cd81,HealthTech,Basic,0,2024-04-30,1
A-02cd81,HealthTech,Basic,836,2024-04-30,1
A-02cd81,HealthTech,Basic,2156,2024-04-30,1
A-02fac6,FinTech,Pro,4577,2024-08-21,1
A-02fac6,FinTech,Pro,1078,2024-08-21,1
A-02fac6,FinTech,Pro,4378,2024-08-21,1
A-02fac6,FinTech,Pro,4378,2024-08-21,1
A-02fac6,FinTech,Pro,1078,2024-08-21,1
A-02fac6,FinTech,Pro,1078,2024-08-21,1
A-02fac6,FinTech,Pro,418,2024-08-21,1
A-02fac6,FinTech,Pro,1078,2024-08-21,1
A-02fac6,FinTech,Pro,1078,2024-08-21,1
A-02fac6,FinTech,Pro,4378,2024-08-21,1
A-02fac6,FinTech,Pro,2891,2024-08-21,1
A-034368,EdTech,Enterprise,551,2024-08-29,1
A-034368,EdTech,Enterprise,4577,2024-08-29,1
A-034368,EdTech,Enterprise,5572,2024-08-29,1
A-034368,EdTech,Enterprise,494,2024-08-29,1
A-034368,EdTech,Enterprise,0,2024-08-29,1
A-0354fe,Cybersecurity,Basic,0,2024-11-26,1
A-0354fe,Cybersecurity,Basic,0,2024-11-15,1
A-0354fe,Cybersecurity,Basic,646,2024-11-26,1
A-0354fe,Cybersecurity,Basic,646,2024-11-15,1
A-0354fe,Cybersecurity,Basic,646,2024-11-26,1
A-0354fe,Cybersecurity,Basic,646,2024-11-15,1
A-0354fe,Cybersecurity,Basic,646,2024-11-26,1
A-0354fe,Cybersecurity,Basic,646,2024-11-15,1
A-0354fe,Cybersecurity,Basic,6766,2024-11-26,1
A-0354fe,Cybersecurity,Basic,6766,2024-11-15,1
A-0354fe,Cybersecurity,Basic,6766,2024-11-26,1
A-0354fe,Cybersecurity,Basic,6766,2024-11-15,1
A-0354fe,Cybersecurity,Basic,0,2024-11-26,1
A-0354fe,Cybersecurity,Basic,0,2024-11-15,1
A-038089,DevTools,Pro,245,2024-12-25,1
A-038089,DevTools,Pro,245,2024-10-21,1
A-038089,DevTools,Pro,1764,2024-12-25,1
A-038089,DevTools,Pro,1764,2024-10-21,1
A-038089,DevTools,Pro,95,2024-12-25,1
A-038089,DevTools,Pro,95,2024-10-21,1
A-039727,EdTech,Pro,4975,2024-12-22,1
A-039727,EdTech,Pro,475,2024-12-22,1
A-039727,EdTech,Pro,0,2024-12-22,1
A-039727,EdTech,Pro,1225,2024-12-22,1
A-039727,EdTech,Pro,5970,2024-12-22,1
A-039727,EdTech,Pro,475,2024-12-22,1
A-039727,EdTech,Pro,475,2024-12-22,1
A-039727,EdTech,Pro,1225,2024-12-22,1
A-039727,EdTech,Pro,4975,2024-12-22,1
A-039727,EdTech,Pro,1225,2024-12-22,1
A-039727,EdTech,Pro,475,2024-12-22,1
A-039727,EdTech,Pro,4975,2024-12-22,1
A-039727,EdTech,Pro,4975,2024-12-22,1
A-039727,EdTech,Pro,0,2024-12-22,1
A-039727,EdTech,Pro,4975,2024-12-22,1
A-0532a9,FinTech,Pro,1029,2024-10-09,1
A-0532a9,FinTech,Pro,361,2024-10-09,1
A-0532a9,FinTech,Pro,931,2024-10-09,1
A-0532a9,FinTech,Pro,361,2024-10-09,1
A-0532a9,FinTech,Pro,5373,2024-10-09,1
A-0532a9,FinTech,Pro,361,2024-10-09,1
A-0532a9,FinTech,Pro,1274,2024-10-09,1
A-0532a9,FinTech,Pro,4179,2024-10-09,1
A-0532a9,FinTech,Pro,361,2024-10-09,1
A-0532a9,FinTech,Pro,931,2024-10-09,1
A-054577,EdTech,Basic,392,,0
A-054577,EdTech,Basic,14925,,0
A-054577,EdTech,Basic,343,,0
A-054577,EdTech,Basic,475,,0
A-054577,EdTech,Basic,456,,0
A-054577,EdTech,Basic,2786,,0
A-054577,EdTech,Basic,597,,0
A-054577,EdTech,Basic,0,,0
A-054577,EdTech,Basic,16915,,0
A-054577,EdTech,Basic,980,,0
A-054577,EdTech,Basic,1710,,0
A-054577,EdTech,Basic,1421,,0
